Condition;instanceID;nD;Time1;Time2;Time3;SearchNodes1;SearchNodes2;SearchNodes3
Staircase-Equals;1;8;12;9;9;117;117;117
Staircase-Equals;2;8;2;2;2;17;17;17
Staircase-Equals;3;8;8;7;7;121;121;121
Staircase-Equals;4;8;1;1;1;17;17;17
Staircase-Equals;5;8;8;8;9;169;169;169
Staircase-Equals;6;8;10;9;10;187;187;187
Staircase-Equals;7;8;6;6;6;133;133;133
Staircase-Equals;8;8;6;6;7;158;158;158
Staircase-Equals;9;8;11;11;12;261;271;271
Staircase-Equals;10;8;15;16;17;483;483;483
Staircase-Equals;11;8;7;7;7;166;166;166
Staircase-Equals;12;8;5;6;6;176;176;176
Staircase-Equals;13;8;1;1;1;39;39;39
Staircase-Equals;14;8;4;7;5;129;129;129
Staircase-Equals;15;8;6;5;6;137;137;137
Staircase-Equals;16;8;3;3;4;84;84;84
Staircase-Equals;17;8;3;3;3;86;86;86
Staircase-Equals;18;8;9;9;9;215;215;215
Staircase-Equals;19;8;3;3;3;81;81;81
Staircase-Equals;20;8;5;5;5;105;105;105
Staircase-Equals;21;8;3;3;3;85;85;85
Staircase-Equals;22;8;3;3;3;84;84;84
Staircase-Equals;23;8;2;2;3;70;70;70
Staircase-Equals;24;8;2;2;2;72;72;72
Staircase-Equals;25;8;7;8;8;190;190;190
Staircase-Equals;26;8;3;3;3;102;102;102
Staircase-Equals;27;8;14;15;17;368;356;388
Staircase-Equals;28;8;11;12;13;318;318;319
Staircase-Equals;29;8;3;3;3;91;91;91
Staircase-Equals;30;8;3;3;3;93;93;93
Staircase-Equals;31;8;3;3;3;72;72;72
Staircase-Equals;32;8;48;53;50;1542;1542;1402
Staircase-Equals;33;8;6;6;6;183;183;183
Staircase-Equals;34;8;16;17;18;476;476;476
Staircase-Equals;35;8;6;6;6;162;162;162
Staircase-Equals;36;8;9;9;9;244;244;244
Staircase-Equals;37;8;1;1;1;14;14;14
Staircase-Equals;38;8;11;11;12;356;356;356
Staircase-Equals;39;8;9;9;10;243;243;243
Staircase-Equals;40;8;7;8;8;214;214;214
Staircase-Equals;41;8;1;1;1;37;37;37
Staircase-Equals;42;8;1;1;1;17;17;17
Staircase-Equals;43;8;1;1;1;15;15;15
Staircase-Equals;44;8;5;5;5;152;152;152
Staircase-Equals;45;8;10;10;11;308;308;308
Staircase-Equals;46;8;7;7;8;208;208;208
Staircase-Equals;47;8;5;5;5;158;158;158
Staircase-Equals;48;8;1;1;1;38;38;38
Staircase-Equals;49;8;6;6;6;147;147;147
Staircase-Equals;50;8;10;11;12;397;397;397
Staircase-Equals;51;8;19;21;22;717;717;717
Staircase-Equals;52;8;1;1;1;29;29;29
Staircase-Equals;53;8;5;5;5;140;140;140
Staircase-Equals;54;8;7;7;8;192;192;209
Staircase-Equals;55;8;6;7;7;172;172;172
Staircase-Equals;56;8;1;1;1;43;43;43
Staircase-Equals;57;8;4;4;4;105;105;105
Staircase-Equals;58;8;10;18;19;253;435;435
Staircase-Equals;59;8;7;7;7;174;174;174
Staircase-Equals;60;8;12;13;13;361;361;361
Staircase-Equals;61;8;2;2;2;57;57;57
Staircase-Equals;62;8;4;4;4;125;125;125
Staircase-Equals;63;8;2;2;2;80;80;80
Staircase-Equals;64;8;4;4;4;106;106;106
Staircase-Equals;65;8;2;2;2;62;62;62
Staircase-Equals;66;8;3;3;3;81;81;81
Staircase-Equals;67;8;4;4;4;105;105;105
Staircase-Equals;68;8;2;2;2;48;48;48
Staircase-Equals;69;8;13;13;13;368;368;368
Staircase-Equals;70;8;3;3;3;75;75;75
Staircase-Equals;71;8;5;5;5;151;151;151
Staircase-Equals;72;8;5;6;7;170;170;202
Staircase-Equals;73;8;1;1;1;55;55;55
Staircase-Equals;74;8;10;10;11;274;254;265
Staircase-Equals;75;8;4;4;4;101;101;101
Staircase-Equals;76;8;6;6;6;146;146;146
Staircase-Equals;77;8;4;4;4;155;155;155
Staircase-Equals;78;8;2;2;2;77;77;77
Staircase-Equals;79;8;3;3;3;121;121;121
Staircase-Equals;80;8;9;10;10;316;316;316
Staircase-Equals;81;8;5;5;6;151;151;151
Staircase-Equals;82;8;4;4;5;128;128;128
Staircase-Equals;83;8;1;1;1;45;45;45
Staircase-Equals;84;8;5;6;6;152;152;152
Staircase-Equals;85;8;2;2;2;50;50;50
Staircase-Equals;86;8;23;25;26;742;746;746
Staircase-Equals;87;8;7;8;8;277;277;277
Staircase-Equals;88;8;1;1;1;36;36;36
Staircase-Equals;89;8;6;6;7;196;196;196
Staircase-Equals;90;8;1;1;1;47;47;47
Staircase-Equals;91;8;4;4;5;133;133;133
Staircase-Equals;92;8;5;5;5;136;136;136
Staircase-Equals;93;8;7;7;7;197;197;197
Staircase-Equals;94;8;8;8;8;213;213;213
Staircase-Equals;95;8;5;6;6;164;164;164
Staircase-Equals;96;8;7;7;7;206;206;206
Staircase-Equals;97;8;3;3;3;98;98;98
Staircase-Equals;98;8;9;9;9;259;259;259
Staircase-Equals;99;8;4;4;4;105;105;105
Staircase-Equals;100;8;7;7;7;195;195;195
